tokens per iteration will be: 491,520
Resuming training from out2
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
iter 19680: loss 3.0036, time 13103.38ms, mfu 10.27%
iter 19720: loss 3.1486, time 13103.29ms, mfu 10.27%
iter 19760: loss 3.1312, time 13102.94ms, mfu 10.27%
iter 19800: loss 3.0991, time 13101.31ms, mfu 10.27%
iter 19840: loss 3.0875, time 13101.56ms, mfu 10.27%
iter 19880: loss 3.2618, time 13101.13ms, mfu 10.27%
iter 19920: loss 2.9585, time 13102.75ms, mfu 10.27%
iter 19960: loss 2.8496, time 13105.07ms, mfu 10.27%
step 20000: train loss 3.1141, val loss 3.1251
saving checkpoint to out2
iter 20000: loss 3.1411, time 50296.85ms, mfu 9.51%
iter 20040: loss 3.1264, time 13114.08ms, mfu 9.59%
iter 20080: loss 2.9512, time 13111.31ms, mfu 9.66%
iter 20120: loss 3.0678, time 13108.14ms, mfu 9.72%
iter 20160: loss 3.2215, time 13111.55ms, mfu 9.77%
iter 20200: loss 3.1192, time 13109.98ms, mfu 9.82%
iter 20240: loss 2.9651, time 13113.32ms, mfu 9.87%
iter 20280: loss 3.3019, time 13108.32ms, mfu 9.91%
iter 20320: loss 3.2094, time 13110.79ms, mfu 9.94%
iter 20360: loss 3.2224, time 13112.77ms, mfu 9.98%
iter 20400: loss 2.9821, time 13113.13ms, mfu 10.01%
iter 20440: loss 3.5086, time 13111.32ms, mfu 10.03%
iter 20480: loss 3.0205, time 13110.69ms, mfu 10.06%
iter 20520: loss 3.4003, time 13114.54ms, mfu 10.08%
iter 20560: loss 3.1178, time 13111.20ms, mfu 10.10%
iter 20600: loss 3.1019, time 13109.26ms, mfu 10.11%
iter 20640: loss 3.0253, time 13112.03ms, mfu 10.13%
iter 20680: loss 3.0703, time 13116.22ms, mfu 10.14%
iter 20720: loss 3.0201, time 13114.09ms, mfu 10.16%
iter 20760: loss 3.2224, time 13111.43ms, mfu 10.17%
iter 20800: loss 3.1044, time 13111.90ms, mfu 10.18%
iter 20840: loss 2.9196, time 13110.33ms, mfu 10.19%
iter 20880: loss 3.0329, time 13107.44ms, mfu 10.20%
iter 20920: loss 3.0197, time 13111.81ms, mfu 10.20%
iter 20960: loss 2.9143, time 13105.70ms, mfu 10.21%
iter 21000: loss 3.2153, time 13110.43ms, mfu 10.22%
iter 21040: loss 3.0325, time 13113.72ms, mfu 10.22%
iter 21080: loss 3.0761, time 13108.68ms, mfu 10.23%
iter 21120: loss 3.1685, time 13110.80ms, mfu 10.23%
iter 21160: loss 2.9935, time 13112.77ms, mfu 10.24%
iter 21200: loss 2.5402, time 13109.47ms, mfu 10.24%
iter 21240: loss 3.2375, time 13104.10ms, mfu 10.24%
iter 21280: loss 2.8805, time 13110.42ms, mfu 10.25%
iter 21320: loss 3.2859, time 13107.34ms, mfu 10.25%
iter 21360: loss 3.2827, time 13109.34ms, mfu 10.25%
iter 21400: loss 3.2450, time 13107.39ms, mfu 10.25%
iter 21440: loss 3.4068, time 13110.01ms, mfu 10.25%
iter 21480: loss 2.7535, time 13106.80ms, mfu 10.26%
iter 21520: loss 3.0704, time 13109.18ms, mfu 10.26%
iter 21560: loss 2.9613, time 13105.31ms, mfu 10.26%
iter 21600: loss 2.9186, time 13110.13ms, mfu 10.26%
iter 21640: loss 3.2868, time 13106.42ms, mfu 10.26%
iter 21680: loss 3.3554, time 13108.59ms, mfu 10.26%
iter 21720: loss 3.3459, time 13110.17ms, mfu 10.26%
iter 21760: loss 3.1090, time 13114.83ms, mfu 10.26%
iter 21800: loss 3.2877, time 13112.88ms, mfu 10.26%
iter 21840: loss 3.1909, time 13111.04ms, mfu 10.27%
iter 21880: loss 3.2326, time 13113.65ms, mfu 10.27%
iter 21920: loss 3.1003, time 13112.78ms, mfu 10.27%
iter 21960: loss 3.2186, time 13109.44ms, mfu 10.27%
step 22000: train loss 3.0929, val loss 3.1217
saving checkpoint to out2
