tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
iter 96: loss 8.1682, time 12912.02ms, mfu 10.43%
iter 97: loss 7.9798, time 12911.44ms, mfu 10.43%
iter 98: loss 7.9126, time 12912.47ms, mfu 10.43%
iter 99: loss 8.1986, time 12913.13ms, mfu 10.43%
iter 100: loss 7.9262, time 12907.85ms, mfu 10.43%
iter 101: loss 7.9696, time 12909.72ms, mfu 10.43%
iter 102: loss 7.6309, time 12911.87ms, mfu 10.43%
iter 103: loss 7.5913, time 12914.21ms, mfu 10.43%
iter 104: loss 7.9742, time 12914.33ms, mfu 10.43%
iter 105: loss 7.8974, time 12910.98ms, mfu 10.43%
iter 106: loss 7.8607, time 12915.26ms, mfu 10.43%
iter 107: loss 7.9931, time 12911.28ms, mfu 10.43%
iter 108: loss 7.5942, time 12910.13ms, mfu 10.43%
iter 109: loss 7.8101, time 12909.00ms, mfu 10.43%
iter 110: loss 7.7727, time 12912.91ms, mfu 10.43%
iter 111: loss 7.9030, time 12909.82ms, mfu 10.43%
iter 112: loss 7.8020, time 12910.54ms, mfu 10.43%
iter 113: loss 7.9649, time 12913.11ms, mfu 10.43%
iter 114: loss 7.6027, time 12921.66ms, mfu 10.43%
iter 115: loss 7.9871, time 12911.69ms, mfu 10.43%
iter 116: loss 7.6286, time 12912.79ms, mfu 10.43%
iter 117: loss 7.8284, time 12908.79ms, mfu 10.43%
iter 118: loss 7.5212, time 12915.45ms, mfu 10.43%
iter 119: loss 7.8615, time 12915.10ms, mfu 10.43%
iter 120: loss 7.4513, time 12913.93ms, mfu 10.43%
iter 121: loss 7.3352, time 12916.62ms, mfu 10.43%
iter 122: loss 7.5923, time 12913.79ms, mfu 10.43%
iter 123: loss 7.3108, time 12913.50ms, mfu 10.43%
iter 124: loss 7.7864, time 12910.94ms, mfu 10.43%
iter 125: loss 7.2943, time 12911.17ms, mfu 10.43%
iter 126: loss 7.5017, time 12908.12ms, mfu 10.43%
iter 127: loss 7.5814, time 12908.96ms, mfu 10.43%
iter 128: loss 7.4945, time 12909.39ms, mfu 10.43%
iter 129: loss 7.4698, time 12909.26ms, mfu 10.43%
iter 130: loss 7.3126, time 12912.03ms, mfu 10.43%
iter 131: loss 7.1492, time 12913.15ms, mfu 10.43%
iter 132: loss 7.2592, time 12914.44ms, mfu 10.43%
iter 133: loss 7.1657, time 12914.83ms, mfu 10.43%
iter 134: loss 7.7182, time 12915.00ms, mfu 10.43%
iter 135: loss 7.4503, time 12917.94ms, mfu 10.43%
iter 136: loss 7.3691, time 12912.33ms, mfu 10.43%
iter 137: loss 7.2155, time 12914.42ms, mfu 10.43%
iter 138: loss 7.1625, time 12910.81ms, mfu 10.43%
iter 139: loss 7.0496, time 12910.26ms, mfu 10.43%
iter 140: loss 7.2454, time 12914.81ms, mfu 10.43%
